label,n_cells,mean_gap,mae,rmse,max_gap,corr
R1: KBE vs MC(first),25,0.006537449916846814,0.09158698557655434,0.12448195992537094,0.25342048798434075,0.3216048914748951
R1: KBE   vs Empirical,9,-0.10519612228419624,0.30448584296986064,0.3234738919584602,0.4482470282085323,0.8394256458031699
R1: MC    vs Empirical,9,-0.11512350368895422,0.35946323357634263,0.3724077137531951,0.48103284969245697,0.864757853351536
R1: MC(T) vs Empirical,9,-0.06869756838124058,0.4384519138420584,0.45128945367239415,0.621,-0.2735805965744773
