regime,type_label,size,level,n_events,n_interarrivals,T,mean_tau
R1,buy_submit,6,4,18,17,23399.933403768002,1120.1152163624706
R1,buy_submit,6,5,90,89,23399.933403768002,238.79674649264044
R1,buy_submit,7,0,0,0,23399.933403768002,
R1,buy_submit,7,1,998,997,23399.933403768002,23.451274600869613
R1,buy_submit,7,2,226,225,23399.933403768002,102.30746317480892
R1,buy_submit,7,3,343,342,23399.933403768002,67.40470465471637
R1,buy_submit,7,4,96,95,23399.933403768002,226.99095172316837
R1,buy_submit,7,5,94,93,23399.933403768002,239.5024628251613
R1,buy_submit,8,0,0,0,23399.933403768002,
R1,buy_submit,8,1,1697,1696,23399.933403768002,13.748992233238798
R1,buy_submit,8,2,214,213,23399.933403768002,105.6651211190047
R1,buy_submit,8,3,87,86,23399.933403768002,261.33148067594186
R1,buy_submit,8,4,379,378,23399.933403768002,38.093456248373
R1,buy_submit,8,5,400,399,23399.933403768002,55.192926741441106
R1,buy_submit,9,0,0,0,23399.933403768002,
R1,buy_submit,9,1,639,638,23399.933403768002,36.675077894789965
R1,buy_submit,9,2,112,111,23399.933403768002,203.27939239393694
R1,buy_submit,9,3,49,48,23399.933403768002,431.4590749552708
R1,buy_submit,9,4,32,31,23399.933403768002,685.019648554484
R1,buy_submit,9,5,67,66,23399.933403768002,302.3292508455303
R1,buy_submit,10,0,0,0,23399.933403768002,
R1,buy_submit,10,1,8219,8218,23399.933403768002,2.846939633123509
R1,buy_submit,10,2,1459,1458,23399.933403768002,15.993487982845679
R1,buy_submit,10,3,852,851,23399.933403768002,27.495629771390135
R1,buy_submit,10,4,795,794,23399.933403768002,29.43378329282619
R1,buy_submit,10,5,1109,1108,23399.933403768002,21.099493236095665
R1,sell_cancel,1,0,0,0,23399.933403768002,
R1,sell_cancel,1,1,17530,17529,23399.933403768002,1.3347315335952992
R1,sell_cancel,1,2,8165,8164,23399.933403768002,2.866044922570063
R1,sell_cancel,1,3,2072,2071,23399.933403768002,11.297076091504103
R1,sell_cancel,1,4,1930,1929,23399.933403768002,12.119223744373247
R1,sell_cancel,1,5,1019,1018,23399.933403768002,22.964619467152257
R1,sell_cancel,2,0,0,0,23399.933403768002,
R1,sell_cancel,2,1,10152,10151,23399.933403768002,2.304924700578761
R1,sell_cancel,2,2,3825,3824,23399.933403768002,6.11837783895319
R1,sell_cancel,2,3,2535,2534,23399.933403768002,9.232899332762038
R1,sell_cancel,2,4,570,569,23399.933403768002,41.04417010617574
R1,sell_cancel,2,5,831,830,23399.933403768002,28.168508240884343
R1,sell_cancel,3,0,0,0,23399.933403768002,
R1,sell_cancel,3,1,9244,9243,23399.933403768002,2.5298373272391004
R1,sell_cancel,3,2,1919,1918,23399.933403768002,12.193831744407195
R1,sell_cancel,3,3,1303,1302,23399.933403768002,17.909274268589094
R1,sell_cancel,3,4,875,874,23399.933403768002,26.199716831231118
R1,sell_cancel,3,5,113,112,23399.933403768002,201.9509652101339
R1,sell_cancel,4,0,0,0,23399.933403768002,
R1,sell_cancel,4,1,4028,4027,23399.933403768002,5.804512627678172
R1,sell_cancel,4,2,1042,1041,23399.933403768002,22.475350055813642
R1,sell_cancel,4,3,279,278,23399.933403768002,83.88123851072302
R1,sell_cancel,4,4,58,57,23399.933403768002,402.00237476380704
R1,sell_cancel,4,5,28,27,23399.933403768002,845.9254240117777
R1,sell_cancel,5,0,0,0,23399.933403768002,
R1,sell_cancel,5,1,3443,3442,23399.933403768002,6.794871920555493
R1,sell_cancel,5,2,2697,2696,23399.933403768002,8.678353049510015
R1,sell_cancel,5,3,1404,1403,23399.933403768002,16.676082841792585
R1,sell_cancel,5,4,664,663,23399.933403768002,35.2889053045641
R1,sell_cancel,5,5,309,308,23399.933403768002,75.96280593772403
R1,sell_cancel,6,0,0,0,23399.933403768002,
R1,sell_cancel,6,1,2024,2023,23399.933403768002,11.506576073117154
R1,sell_cancel,6,2,1100,1099,23399.933403768002,21.182029530355774
R1,sell_cancel,6,3,146,145,23399.933403768002,154.4550636094345
R1,sell_cancel,6,4,108,107,23399.933403768002,209.215344644028
R1,sell_cancel,6,5,40,39,23399.933403768002,560.7970033204872
R1,sell_cancel,7,0,0,0,23399.933403768002,
R1,sell_cancel,7,1,839,838,23399.933403768002,27.772333045415277
R1,sell_cancel,7,2,372,371,23399.933403768002,62.782224307123975
R1,sell_cancel,7,3,72,71,23399.933403768002,316.8307604904084
R1,sell_cancel,7,4,54,53,23399.933403768002,407.18981899990564
R1,sell_cancel,7,5,116,115,23399.933403768002,181.4873439795478
R1,sell_cancel,8,0,0,0,23399.933403768002,
R1,sell_cancel,8,1,1142,1141,23399.933403768002,20.43826289961963
R1,sell_cancel,8,2,587,586,23399.933403768002,39.79576779595052
R1,sell_cancel,8,3,38,37,23399.933403768002,589.6124740663514
R1,sell_cancel,8,4,55,54,23399.933403768002,398.5435858950185
R1,sell_cancel,8,5,146,145,23399.933403768002,150.86041732347587
R1,sell_cancel,9,0,0,0,23399.933403768002,
R1,sell_cancel,9,1,760,759,23399.933403768002,30.748358700989456
R1,sell_cancel,9,2,359,358,23399.933403768002,65.13585666994135
R1,sell_cancel,9,3,39,38,23399.933403768002,568.3641081770526
R1,sell_cancel,9,4,69,68,23399.933403768002,317.6588581967353
R1,sell_cancel,9,5,15,14,23399.933403768002,1495.738268681071
R1,sell_cancel,10,0,0,0,23399.933403768002,
R1,sell_cancel,10,1,5961,5960,23399.933403768002,3.913014620281544
R1,sell_cancel,10,2,3068,3067,23399.933403768002,7.608828524446364
R1,sell_cancel,10,3,997,996,23399.933403768002,23.4091064811747
R1,sell_cancel,10,4,544,543,23399.933403768002,43.05127083597974
R1,sell_cancel,10,5,784,783,23399.933403768002,29.7960572944355
R1,buy_cancel,1,0,0,0,23399.933403768002,
R1,buy_cancel,1,1,18261,18260,23399.933403768002,1.2814667156983024
R1,buy_cancel,1,2,11704,11703,23399.933403768002,1.9994517945847217
R1,buy_cancel,1,3,3526,3525,23399.933403768002,6.637322635478582
R1,buy_cancel,1,4,2821,2820,23399.933403768002,8.296524100246453
R1,buy_cancel,1,5,1657,1656,23399.933403768002,14.128852658747588
R1,buy_cancel,2,0,0,0,23399.933403768002,
R1,buy_cancel,2,1,10594,10593,23399.933403768002,2.2089492214041346
R1,buy_cancel,2,2,5184,5183,23399.933403768002,4.514603915379316
R1,buy_cancel,2,3,2715,2714,23399.933403768002,8.6214730898353
R1,buy_cancel,2,4,604,603,23399.933403768002,38.798611315361526
R1,buy_cancel,2,5,753,752,23399.933403768002,31.004609507964098
R1,buy_cancel,3,0,0,0,23399.933403768002,
R1,buy_cancel,3,1,7836,7835,23399.933403768002,2.983852543792215
R1,buy_cancel,3,2,2338,2337,23399.933403768002,10.005321064495508
R1,buy_cancel,3,3,1772,1771,23399.933403768002,13.178753753645397
R1,buy_cancel,3,4,878,877,23399.933403768002,26.26511553150513
R1,buy_cancel,3,5,299,298,23399.933403768002,78.50221819519126
R1,buy_cancel,4,0,0,0,23399.933403768002,
R1,buy_cancel,4,1,4020,4019,23399.933403768002,5.818367615553621
R1,buy_cancel,4,2,1163,1162,23399.933403768002,20.131320985814114
R1,buy_cancel,4,3,280,279,23399.933403768002,83.8121896265914
R1,buy_cancel,4,4,102,101,23399.933403768002,231.41975260832677
R1,buy_cancel,4,5,40,39,23399.933403768002,560.0002062635641
R1,buy_cancel,5,0,0,0,23399.933403768002,
R1,buy_cancel,5,1,2531,2530,23399.933403768002,9.23782461780316
R1,buy_cancel,5,2,2431,2430,23399.933403768002,9.628906381762963
R1,buy_cancel,5,3,1706,1705,23399.933403768002,13.72386719402229
R1,buy_cancel,5,4,882,881,23399.933403768002,26.559811067118048
R1,buy_cancel,5,5,310,309,23399.933403768002,75.72554545992881
R1,buy_cancel,6,0,0,0,23399.933403768002,
R1,buy_cancel,6,1,1448,1447,23399.933403768002,16.12918306382308
R1,buy_cancel,6,2,623,622,23399.933403768002,37.426138522114144
R1,buy_cancel,6,3,62,61,23399.933403768002,380.71076957219674
R1,buy_cancel,6,4,40,39,23399.933403768002,557.2818816450256
R1,buy_cancel,6,5,36,35,23399.933403768002,596.865505740257
R1,buy_cancel,7,0,0,0,23399.933403768002,
R1,buy_cancel,7,1,861,860,23399.933403768002,27.15585741951628
R1,buy_cancel,7,2,549,548,23399.933403768002,42.58644064432117
R1,buy_cancel,7,3,151,150,23399.933403768002,154.96305727018
R1,buy_cancel,7,4,62,61,23399.933403768002,377.716093573459
