regime,type_label,size,level,n_events,n_interarrivals,T,mean_tau
R2,buy_cancel,2,3,234,233,23397.673190644004,100.4030500770601
R2,buy_cancel,2,4,47,46,23397.673190644004,506.50053792752175
R2,buy_cancel,2,5,20,19,23397.673190644004,1200.243276510421
R2,buy_cancel,3,0,0,0,23397.673190644004,
R2,buy_cancel,3,1,7,6,23397.673190644004,3873.9064605041663
R2,buy_cancel,3,2,2951,2950,23397.673190644004,7.9299259503084745
R2,buy_cancel,3,3,124,123,23397.673190644004,188.40970922913007
R2,buy_cancel,3,4,92,91,23397.673190644004,256.81259677503294
R2,buy_cancel,3,5,19,18,23397.673190644004,990.4103209933334
R2,buy_cancel,4,0,0,0,23397.673190644004,
R2,buy_cancel,4,1,4,3,23397.673190644004,1081.3154670220003
R2,buy_cancel,4,2,2694,2693,23397.673190644004,8.670395927976234
R2,buy_cancel,4,3,51,50,23397.673190644004,467.4419706448
R2,buy_cancel,4,4,4,3,23397.673190644004,606.8817858963326
R2,buy_cancel,4,5,4,3,23397.673190644004,3601.6255904853338
R2,buy_cancel,5,0,0,0,23397.673190644004,
R2,buy_cancel,5,1,1,0,23397.673190644004,
R2,buy_cancel,5,2,2650,2649,23397.673190644004,8.831227172056627
R2,buy_cancel,5,3,175,174,23397.673190644004,134.43152522964942
R2,buy_cancel,5,4,110,109,23397.673190644004,210.79563925908255
R2,buy_cancel,5,5,55,54,23397.673190644004,395.1516526855184
R2,buy_cancel,6,0,0,0,23397.673190644004,
R2,buy_cancel,6,1,3,2,23397.673190644004,2445.8424444835
R2,buy_cancel,6,2,1860,1859,23397.673190644004,12.551692194062937
R2,buy_cancel,6,3,13,12,23397.673190644004,1821.0026342227495
R2,buy_cancel,6,4,3,2,23397.673190644004,5155.870704627501
R2,buy_cancel,6,5,5,4,23397.673190644004,3752.139311121249
R2,buy_cancel,7,0,0,0,23397.673190644004,
R2,buy_cancel,7,1,2,1,23397.673190644004,10505.870698314
R2,buy_cancel,7,2,1161,1160,23397.673190644004,19.883386018938793
R2,buy_cancel,7,3,10,9,23397.673190644004,2547.1976871098886
R2,buy_cancel,7,4,6,5,23397.673190644004,2218.9598277636005
R2,buy_cancel,7,5,1,0,23397.673190644004,
R2,buy_cancel,8,0,0,0,23397.673190644004,
R2,buy_cancel,8,1,8,7,23397.673190644004,3190.251617411714
R2,buy_cancel,8,2,1506,1505,23397.673190644004,15.544005158537539
R2,buy_cancel,8,3,7,6,23397.673190644004,2268.3170140565003
R2,buy_cancel,8,4,3,2,23397.673190644004,4039.711559116
R2,buy_cancel,8,5,13,12,23397.673190644004,1046.064242552833
R2,buy_cancel,9,0,0,0,23397.673190644004,
R2,buy_cancel,9,1,4,3,23397.673190644004,2165.3521402460005
R2,buy_cancel,9,2,849,848,23397.673190644004,27.288848241305423
R2,buy_cancel,9,3,2,1,23397.673190644004,22178.554407101998
R2,buy_cancel,9,4,1,0,23397.673190644004,
R2,buy_cancel,9,5,0,0,23397.673190644004,
R2,buy_cancel,10,0,0,0,23397.673190644004,
R2,buy_cancel,10,1,10,9,23397.673190644004,2487.510573200556
R2,buy_cancel,10,2,12071,12070,23397.673190644004,1.9380636655937862
R2,buy_cancel,10,3,101,100,23397.673190644004,233.95206784773995
R2,buy_cancel,10,4,53,52,23397.673190644004,447.9376105850578
R2,buy_cancel,10,5,28,27,23397.673190644004,866.344850550926
