regime,type_idx,type_label,depth,xi_bin,mu,alpha,beta,branching_ratio,n_events,log_lik,converged,fallback
R1,1,buy_submit,2,4,0.002315944896729129,0.8217304993154514,333.23613520860533,0.0024659105435881055,304,775.2846996247877,True,False
R1,1,buy_submit,2,5,0.001,0.886536811889236,238.79175643499428,0.00371259387310791,53,168.33075809491623,True,False
R1,1,buy_submit,3,0,0.37871355625661035,0.11407570053405472,402.1324957350502,0.0002836769018766761,10003,-15148.002915549514,True,False
R1,1,buy_submit,3,1,0.05296015877484901,0.446509665215638,48.48461654012934,0.009209305901101118,2239,-3535.703313245319,True,False
R1,1,buy_submit,3,2,0.016446432782009517,0.6292429765410475,76.52423771903509,0.008222793134527702,1038,-441.9481154036944,True,False
R1,1,buy_submit,3,3,0.004624316933273387,0.681739129757511,137.67433464022636,0.004951824401687119,340,50.901083856696516,True,False
R1,1,buy_submit,3,4,0.001,0.8429919461128095,170.5967406461641,0.0049414305508993575,110,232.41172822190424,True,False
R1,1,buy_submit,3,5,0.001,0.0,1.0,0.0,1,-30.30768868175014,False,True
R1,1,buy_submit,4,0,0.1558718553304227,0.13732390487195686,197.64768579063235,0.0006947913623305648,4228,-9567.963893247226,True,False
R1,1,buy_submit,4,1,0.017947813140189152,0.4495706081190948,46.96332495999528,0.009572801936448324,763,-1679.629041712303,True,False
R1,1,buy_submit,4,2,0.005476588429083798,0.5641086482565316,119.62396012503473,0.004715682775147283,294,-367.90314559574443,True,False
R1,1,buy_submit,4,3,0.0018792661000645921,0.6668476176411016,3823.7183656464717,0.00017439768149042493,132,249.75334760912617,True,False
R1,1,buy_submit,4,4,0.001,0.870918947480591,3232.649003370986,0.0002694133964350606,170,869.2224209154688,True,False
R1,1,buy_submit,4,5,0.001,0.8631567321747771,4596.891139859644,0.0001877696699602792,95,491.3097956478809,True,False
R1,1,buy_submit,5,0,0.20262194780267923,0.1336910448599671,1374.998838358651,9.722993295002005e-05,5473,-9894.204480646611,True,False
R1,1,buy_submit,5,1,0.040751437420626827,0.36932204587422846,264.14559883895356,0.001398176034344603,1512,-2509.117538396773,True,False
R1,1,buy_submit,5,2,0.013589936533840523,0.5826717693345715,107.81728034091292,0.005404252152272735,762,-558.7107791953083,True,False
R1,1,buy_submit,5,3,0.0031812917053064,0.6998296320982278,136.9746416287481,0.005109191188797009,248,52.377227281005275,True,False
R1,1,buy_submit,5,4,0.001,0.6874844309805535,3312.5055735596566,0.00020754212052291726,16,23.491742803559006,True,False
R1,1,buy_submit,5,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,6,0,0.062053574958803245,0.16163271096643816,395.5335425930236,0.00040864476349290795,1732,-4862.386613704808,True,False
R1,1,buy_submit,6,1,0.009148244641733196,0.4366624696765045,42.10485653853128,0.01037083380813572,380,-1036.508406814402,True,False
R1,1,buy_submit,6,2,0.001753720157179129,0.5172118887090998,46.82679920616254,0.011045211235386623,85,-234.93783292256575,True,False
R1,1,buy_submit,6,3,0.001,0.0,1.0,0.0,9,-85.56973090560723,False,True
R1,1,buy_submit,6,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,6,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
